Time,TP,Total_Bits,Total_Packets,Packet_Sizes,Packet_Times,IPGs
240,0.0,0,0,[],[],[]
241,0.0,0,0,[],[],[]
242,0.0,0,0,[],[],[]
243,0.0,0,0,[],[],[]
244,0.0,0,0,[],[],[]
245,0.0,0,0,[],[],[]
246,0.0,0,0,[],[],[]
247,0.0,0,0,[],[],[]
248,0.0,0,0,[],[],[]
249,0.0,0,0,[],[],[]
250,0.0,0,0,[],[],[]
251,0.0,0,0,[],[],[]
252,0.0,0,0,[],[],[]
253,0.0,0,0,[],[],[]
254,0.0,0,0,[],[],[]
255,0.0,0,0,[],[],[]
256,30880.0,30880,8,"[1278, 1278, 650, 54, 120, 57, 370, 53]","[1654008991.994892, 1654008992.079843, 1654008992.085218, 1654008992.08533, 1654008992.159638, 1654008992.200662, 1654008992.319978, 1654008992.320455]","[29.878837, 0.084951, 0.005375, 0.000112, 0.074308, 0.041024, 0.119316, 0.000477]"
257,2464.0,2464,5,"[53, 55, 94, 53, 53]","[1654008992.385721, 1654008992.976662, 1654008993.053738, 1654008993.05391, 1654008993.114618]","[0.065266, 0.590941, 0.077076, 0.000172, 0.060708]"
258,0.0,0,0,[],[],[]
259,36320.0,36320,9,"[1278, 1278, 650, 54, 120, 57, 997, 53, 53]","[1654008994.605731, 1654008994.684799, 1654008994.689576, 1654008994.689714, 1654008994.741695, 1654008994.747427, 1654008994.85786, 1654008994.863277, 1654008994.909636]","[1.491113, 0.079068, 0.004777, 0.000138, 0.051981, 0.005732, 0.110433, 0.005417, 0.046359]"
260,0.0,0,0,[],[],[]
261,0.0,0,0,[],[],[]
262,0.0,0,0,[],[],[]
263,0.0,0,0,[],[],[]
264,0.0,0,0,[],[],[]
265,0.0,0,0,[],[],[]
266,0.0,0,0,[],[],[]
267,0.0,0,0,[],[],[]
268,0.0,0,0,[],[],[]
269,0.0,0,0,[],[],[]
270,0.0,0,0,[],[],[]
271,0.0,0,0,[],[],[]
272,0.0,0,0,[],[],[]
273,0.0,0,0,[],[],[]
274,0.0,0,0,[],[],[]
275,0.0,0,0,[],[],[]
276,0.0,0,0,[],[],[]
277,0.0,0,0,[],[],[]
278,0.0,0,0,[],[],[]
279,0.0,0,0,[],[],[]
280,0.0,0,0,[],[],[]
281,0.0,0,0,[],[],[]
282,0.0,0,0,[],[],[]
283,0.0,0,0,[],[],[]
284,0.0,0,0,[],[],[]
285,0.0,0,0,[],[],[]
286,12704.0,12704,6,"[1278, 53, 55, 96, 53, 53]","[1654009021.975418, 1654009022.001107, 1654009022.041663, 1654009022.168119, 1654009022.16865, 1654009022.233685]","[27.065782, 0.025689, 0.040556, 0.126456, 0.000531, 0.065035]"
287,0.0,0,0,[],[],[]
288,0.0,0,0,[],[],[]
289,0.0,0,0,[],[],[]
290,0.0,0,0,[],[],[]
291,0.0,0,0,[],[],[]
292,0.0,0,0,[],[],[]
293,0.0,0,0,[],[],[]
294,0.0,0,0,[],[],[]
295,0.0,0,0,[],[],[]
296,0.0,0,0,[],[],[]
